diff_P3_P2,diff_P6_P4,diff_P9_P7,diff_P10_P8,diff_P11_P5,diff_P14_P12,diff_P15_P13,diff_P20_P18,diff_P21_P19,diff_P23_P22,diff_P28_P26,diff_P29_P27,diff_P31_P30,diff_P33_P32,diff_T3_T2,diff_T6_T4,diff_T9_T7,diff_T10_T8,diff_T11_T5,diff_T14_T12,diff_T15_T13,diff_T20_T18,diff_T21_T19,diff_T23_T22,diff_T28_T26,diff_T29_T27,diff_T31_T30,diff_T33_T32,diff_P18_P16,diff_P19_P17,diff_P26_P24,diff_P27_P25
0.04511,0.0581,0.06646,0.03842,0.03303,0.04161,0.04922,0.02436,0.04183,0.03584,0.03873,0.03873,0.02054,0.81307,0.24567,0.4302,0.51734,1.84977,0.57457,0.73993,2.00759,1.49004,0.45029,0.34796,1.63173,0.64597,0.46518,0.18217,0.93652,0.89129,0.95157,0.9591
0.04554,0.05879,0.06749,0.03841,0.03325,0.04179,0.04921,0.02435,0.04247,0.03626,0.0388,0.0388,0.02067,0.82089,0.24448,0.42763,0.51332,1.84994,0.57269,0.73833,1.99588,1.49012,0.44676,0.34593,1.62187,0.64453,0.46363,0.18107,0.92719,0.88028,0.94292,0.95027
0.04611,0.05962,0.06875,0.03844,0.03358,0.04201,0.0492,0.02437,0.04326,0.03676,0.03891,0.03891,0.02087,0.83123,0.24292,0.42455,0.50859,1.84957,0.5698,0.73637,1.9744,1.48972,0.44258,0.34351,1.60383,0.64276,0.46121,0.17963,0.91491,0.86602,0.93139,0.9385
0.04668,0.06046,0.07004,0.03839,0.03391,0.04233,0.0492,0.02433,0.04406,0.03728,0.03902,0.03902,0.02108,0.84159,0.2414,0.42154,0.50382,1.85087,0.56691,0.7337,1.95789,1.49072,0.4384,0.34114,1.58995,0.64037,0.45882,0.17822,0.90273,0.85167,0.91982,0.92662
0.04738,0.06152,0.07166,0.03836,0.03431,0.04276,0.04918,0.02432,0.04508,0.03792,0.03915,0.03915,0.02132,0.85437,0.23956,0.41781,0.49803,1.85173,0.56359,0.72994,1.94321,1.49133,0.4333,0.33821,1.5776,0.63703,0.45611,0.17651,0.8876,0.83387,0.90559,0.91195
0.04795,0.06221,0.07255,0.03864,0.03474,0.04334,0.04917,0.0245,0.04563,0.03834,0.03925,0.03925,0.02159,0.86462,0.23811,0.41542,0.49495,1.84477,0.55999,0.72504,1.93293,1.4855,0.43058,0.3363,1.56892,0.63267,0.45321,0.17516,0.87522,0.82053,0.894,0.89977
0.04824,0.06213,0.07216,0.03914,0.03529,0.04422,0.04916,0.02481,0.04539,0.03829,0.03932,0.03932,0.02192,0.8699,0.23737,0.4157,0.49632,1.83281,0.55551,0.71771,1.92792,1.4756,0.43178,0.33645,1.56464,0.62619,0.44964,0.17448,0.86898,0.81572,0.88749,0.89239
0.04818,0.06151,0.07114,0.03928,0.03564,0.04481,0.04916,0.02489,0.04475,0.03792,0.0393,0.0393,0.02214,0.86872,0.23753,0.41783,0.49988,1.82934,0.55266,0.71294,1.92552,1.47277,0.4349,0.3381,1.56259,0.62198,0.44738,0.17464,0.87099,0.81959,0.88819,0.8925
0.04619,0.0585,0.06771,0.03722,0.03457,0.04334,0.04919,0.0236,0.04261,0.03609,0.03893,0.03893,0.02148,0.83267,0.24271,0.42871,0.51247,1.88012,0.56139,0.7249,1.95034,1.51509,0.44601,0.34693,1.58357,0.6326,0.45444,0.17951,0.91715,0.86795,0.92827,0.93406
0.04271,0.05324,0.06161,0.03384,0.03266,0.04053,0.04924,0.02151,0.0388,0.03289,0.03828,0.03828,0.02032,0.76947,0.25265,0.44984,0.53743,1.97279,0.57789,0.7497,1.9827,1.59255,0.46804,0.36404,1.61113,0.65466,0.46767,0.18869,0.99763,0.95286,0.99856,1.00719
